School,Group,Description,URL,Code,Group_Code,summary
Naveen Jindal School of Management,Accounting,"ACCT 6335 Ethics for Professional Accountants (3 semester credit hours) This course provides an in-depth exploration of the ethical principles and regulatory requirements that govern the accounting profession. This course presents ethical philosophies, reasoning, and foundational concepts of ethics in accounting, with emphasis on the American Institute of Certified Public Accountants Code of Professional Conduct. Topics examined include integrity, independence, confidentiality, and professional competence. This course will also address the role of relevant regulatory frameworks, including the Sarbanes-Oxley Act and the Public Company Accounting Oversight Board, in establishing expectations of ethical compliance. This course is approved to meet the ethics requirements established by the Texas State Board of Public Accountancy. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6335,ACCT 6335,ACCT,"{""course_code"": ""ACCT 6335"", ""course_title"": ""Ethics for Professional Accountants"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6336 ( HMGT 6336 and MIS 6337 ) Information Technology Audit and Risk Management (3 semester credit hours) Management's role in designing and controlling information technology used to process data is studied. Topics include the role of internal and external auditors in systems development, information security, business continuity, information technology, internet, change management, and operations. Focus is placed on the assurance of controls over information technology risks and covers topics directly related to the Certified Information Systems Auditor (CISA) exam. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6336,ACCT 6336,ACCT,"{""course_code"": ""ACCT 6336"", ""course_title"": ""Information Technology Audit and Risk Management"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6338 ( MIS 6338 ) Accounting Systems Configuration and Visualization (3 semester credit hours) Using SAP or similar cloud-based enterprise system software, the focus is on system analysis and design methods for configuring business processes to ensure financial and managerial accounting transaction flow automation and control. Data visualization using SAP Cloud Analytics or similar software and other current topics impacting modern accounting systems also included. Prerequisite or Corequisite: ACCT 6202 or ACCT 6305 or ACCT 6331 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) P",https://catalog.utdallas.edu/2025/graduate/courses/acct6338,ACCT 6338,ACCT,"{""course_code"": ""ACCT 6338"", ""course_title"": ""Accounting Systems Configuration and Visualization"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6340 ( MIS 6308 ) System Analysis and Project Management (3 semester credit hours) Provides the student with an in-depth knowledge of object oriented systems analysis and design procedures. Software project management techniques will be introduced. At the end of the course, students will have the chance to analyze business solutions and design computer based information systems using object-oriented methodologies. Prerequisite or Corequisite: MIS 6326 or BUAN 6320 or MIS 6320 . (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6340,ACCT 6340,ACCT,"{""course_code"": ""ACCT 6340"", ""course_title"": ""System Analysis and Project Management"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6341 Planning, Control and Performance Evaluation (3 semester credit hours) This course evaluates accounting control for a variety of business situations with extensive use of case-based analysis. Topics include strategic planning, budgeting, key performance indicators (KPIs), responsibility center accounting, management compensation, transfer pricing, and corporate social responsibility. Accounting control is evaluated with respect to the role of chief financial officers, controllers, auditors, and boards of directors. Modern control methods and application of control models such as COSO and data visualization for better management control are included. Prerequisite: ACCT 6202 or ACCT 6305 or ACCT 6331 or (an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area). (3-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6341,ACCT 6341,ACCT,"{""course_code"": ""ACCT 6341"", ""course_title"": ""Planning, Control and Performance Evaluation"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6343 Accounting Information Systems (3 semester credit hours) Managing the design, control, and operation of accounting information systems with a focus on design thinking and digital transformation. Emphasis will be on identifying the information needs of decision makers and developing appropriate process control with an overall focus on business transformation. Modern concepts, including cloud-based enterprise systems and robotic process automation, will be applied to streamline integration of accounting and business processes. Prerequisite: ACCT 6301 or ACCT 6305 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area, or ACCT 6320 . (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6343,ACCT 6343,ACCT,"{""course_code"": ""ACCT 6343"", ""course_title"": ""Accounting Information Systems"", ""credit_hours"": ""3 semester credit hours""}"
Naveen Jindal School of Management,Accounting,"ACCT 6344 Financial Statement Analysis (3 semester credit hours) Analysis of financial statements for evaluating firm performance and risk. Topics include interpretation of financial statements and footnotes, managers' incentives for earnings manipulation, comparative analysis of firms, and ethics in financial reporting. Prerequisite: ACCT 6301 or ACCT 6305 or ACCT 6330 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6344,ACCT 6344,ACCT,"{""course_code"": ""ACCT 6344"", ""course_title"": ""Financial Statement Analysis"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6345 Business Valuation (3 semester credit hours) Wide range of valuation models, especially accounting based valuation models are discussed. Essential valuation tools and techniques for determining the value of any asset - including the valuation of stocks, bonds, etc. are covered. The challenges faced by auditors in audits of fair value measurements are also covered in the course. Prerequisite: ACCT 6301 or ACCT 6305 or ACCT 6330 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6345,ACCT 6345,ACCT,"{""course_code"": ""ACCT 6345"", ""course_title"": ""Business Valuation"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6349 ( MIS 6302 ) Managing Digital Strategy (3 semester credit hours) This course explores the strategic management issues associated with the transformation of all businesses into digital businesses. It focuses on developing an understanding of how to develop a business models to implement strategies that are based on digital systems across different industries. This includes understanding how to develop business plans, how to align the business architecture with the digital systems architecture, and appropriately managing the digital systems to maximize business value. The course will deal with assessing and developing business strategies by harnessing contemporary phenomena in the digital world, such as the Internet of Things, Mobility strategies, and include applications of emerging techniques based on machine learning, artificial intelligence and semantic analysis to craft appropriate business strategies for firms. Credit cannot be received for both ACCT 6349 and MIS 6302 . (3-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6349,ACCT 6349,ACCT,"{""course_code"": ""ACCT 6349"", ""course_title"": ""Managing Digital Strategy"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,ACCT 6350 Fundamentals of Taxation I (3 semester credit hours) Introduction to the role of taxes and their impact on individuals and business entities; emphasis on federal individual income and property taxation. Prerequisite or Corequisite: ACCT 6301 or ACCT 6330 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) S,https://catalog.utdallas.edu/2025/graduate/courses/acct6350,ACCT 6350,ACCT,"{""course_code"": ""ACCT 6350"", ""course_title"": ""Fundamentals of Taxation I"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6353 Fundamentals of Taxation II (3 semester credit hours) This course covers certain common and special federal tax laws for individuals, partnerships, and corporations. Topics include income tax returns for partnerships and business corporations as well as survey coverage of corporate tax issues, including formation, taxable income, and distributions. The course also covers IRS audits, exposure to partnerships, and international taxation. Prerequisite: ACCT 6350 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6353,ACCT 6353,ACCT,"{""course_code"": ""ACCT 6353"", ""course_title"": ""Fundamentals of Taxation II"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,ACCT 6354 Taxation and Planning of Pass-through Entities (3 semester credit hours) This course covers tax law of partnerships and other pass-through business entities. Topics include the tax consequences of various business entities and individual tax planning. Prerequisite: ACCT 6350 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) S,https://catalog.utdallas.edu/2025/graduate/courses/acct6354,ACCT 6354,ACCT,"{""course_code"": ""ACCT 6354"", ""course_title"": ""Taxation and Planning of Pass-through Entities"", ""credit_hours"": ""3 semester credit hours""}"
Naveen Jindal School of Management,Accounting,"ACCT 6356 Tax Research (3 semester credit hours) This course covers identification and evaluation of legal authorities applicable to tax issues for individual and business taxpayers. The course emphasizes practice in applying research techniques for tax planning, compliance, and controversy scenarios commonly encountered by CPAs. Prerequisite: ACCT 6350 or undergraduate degree in Accounting and adequate foundation/academic performance in corresponding area. (3-0) P",https://catalog.utdallas.edu/2025/graduate/courses/acct6356,ACCT 6356,ACCT,"{""course_code"": ""ACCT 6356"", ""course_title"": ""Tax Research"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6362 International Accounting (3 semester credit hours) Accounting concepts, standards, methods, and practices in foreign environments and their relationship to US accounting are assessed. Topics include performance measurement of international entities, accounting for international operations, comparative accounting systems, transfer pricing, and financial reporting of foreign and multinational corporations. Prerequisite: ACCT 6301 or ACCT 6305 or ACCT 6330 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6362,ACCT 6362,ACCT,"{""course_code"": ""ACCT 6362"", ""course_title"": ""International Accounting"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6365 Governmental and Not-For-Profit Accounting (3 semester credit hours) Accounting practices for governmental and not-for-profit organizations are studied, including accounting requirements for institutions, municipalities, and state and federal government. Topics include performance budgeting, systems analysis, and accounting implications of economic decisions. Prerequisites: (( ACCT 6301 or ACCT 6330 ) and ( ACCT 6202 or ACCT 6331 )) or ACCT 6305 , or undergraduate degree in Accounting and adequate foundation/academic performance in corresponding area. (3-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6365,ACCT 6365,ACCT,"{""course_code"": ""ACCT 6365"", ""course_title"": ""Governmental and Not-For-Profit Accounting"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"""ACCT 6367 Multijurisdictional Taxation (3 semester credit hours) This course introduces the taxation of business entities and individuals by competing taxing jurisdictions. This course also addresses state taxation concepts, including nexus, allocation, and apportionment issues and examines cross-border and international tax issues emphasizing """"outbound"""" investments and activities of U.S. taxpayers. Prerequisite: ACCT 6350 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) Y""",https://catalog.utdallas.edu/2025/graduate/courses/acct6367,ACCT 6367,ACCT,"{""course_code"": ""ACCT 6367"", ""course_title"": ""Multijurisdictional Taxation"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6370 Business Law (3 semester credit hours) Laws affecting business organizations and laws influencing managerial decision-making are examined. Topics include contract law, law of agency, law of commercial transactions, and the uniform commercial code and the laws relating to the formation and operation of corporations. (3-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6370,ACCT 6370,ACCT,"{""course_code"": ""ACCT 6370"", ""course_title"": ""Business Law"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"""ACCT 6374 Advanced Data Analytics and AI for Accountants and Auditors (3 semester credit hours) This course provides an understanding of data analytics and artificial intelligence and how its theories and procedures can benefit accounting and auditing professionals. The central theme for the course will be the use and application of analytic techniques and artificial intelligence for decision making and the examination of """"big data"""" involving accounting information. It will also cover the application of data analytics and artificial intelligence concepts and techniques to accounting, auditing, forensic, and risk management scenarios. Prerequisites: ( ACCT 6301 and ACCT 6202 ) or ACCT 6305 or ( ACCT 6330 and ACCT 6331 ) or BUAN 6359 or OPRE 6359 or (an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area). (3-0) R""",https://catalog.utdallas.edu/2025/graduate/courses/acct6374,ACCT 6374,ACCT,"{""course_code"": ""ACCT 6374"", ""course_title"": ""Advanced Data Analytics and AI for Accountants and Auditors"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6377 Corporate Governance (3 semester credit hours) Corporate governance is a system of policies and processes established and maintained by a board of directors and top management to oversee an organization's strategic activities and resulting performance. The system seeks to ensure proper accountability, probity, and openness in the conduct of an organization's business for the long-term benefit of its shareholders by causing the right questions to be asked and by placing checks and balances in place to ascertain the answers reflect reality. Thus, corporate governance focuses on enhancing the relationships among a company's board of directors, top management, investors (particularly institutional investors), and other stakeholders. Each session has two themes: issues are addressed academically by the instructor and pragmatically by prominent practitioners. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6377,ACCT 6377,ACCT,"{""course_code"": ""ACCT 6377"", ""course_title"": ""Corporate Governance"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6380 ( HMGT 6380 and MIS 6394 ) Internal Audit (3 semester credit hours) The course covers internal audit from a broad perspective that includes information technology, business processes, and accounting systems. Topics include internal auditing standards, risk assessment, governance, ethics, audit techniques, consulting and emerging internal audit issues. This is the first course leading to Internal Auditing Education Partnership (IAEP) Certificate and prepares students for the Certified Internal Auditor Exam. Students work on internal audits as part of class along with learning the latest internal audit techniques. (3-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6380,ACCT 6380,ACCT,"{""course_code"": ""ACCT 6380"", ""course_title"": ""Internal Audit"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6383 Fraud Examination (3 semester credit hours) This course introduces theory and techniques used in solving financial crimes including forensic accounting procedures, interviewing techniques, rules of evidence, sources of information, and current issues in financial investigations. The course will include the application of criminal statutes related to investigating, solving, and prosecuting financial crimes. Case studies and practical exercises will be used to augment course topics. Various financial documents and instruments will be discussed and reviewed as part of the documentary evidence to support financial investigations. Prerequisites: ( ACCT 6330 and ACCT 6332 ) or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6383,ACCT 6383,ACCT,"{""course_code"": ""ACCT 6383"", ""course_title"": ""Fraud Examination"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,ACCT 6384 ( MIS 6339 ) Analytical Reviews Using Audit Software (3 semester credit hours) This course introduces the theory and tools used to leverage automated auditing software such as ACL and IDEA. The course includes an analytical review of accounting and operational data for internal auditors and hands-on use of audit software and the development of an audit dashboard. The course also explores ways to leverage the enterprise technology and use available technology to monitor controls and detect fraud. (3-0) P,https://catalog.utdallas.edu/2025/graduate/courses/acct6384,ACCT 6384,ACCT,"{""course_code"": ""ACCT 6384"", ""course_title"": ""Analytical Reviews Using Audit Software"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6386 Governance, Risk Management and Compliance (GRC) (3 semester credit hours) GRC examines, from the perspective of corporate directors, senior officers, professional service providers, and consultants the relationship between Corporate Governance and selected components: risk management, compliance, regulations, and regulatory reporting. In addition, these will be linked to two other aspects of Corporate Governance: ethics and corporate culture. Experts in the field provide insights into how systems of corporate governance are designed, developed, and implemented. GRC benefits graduates interested in pursuing careers as auditors (external and internal), consultants, forensic accountants, risk management experts, compliance officers, and ethics officers. (3-0) Y",https://catalog.utdallas.edu/2025/graduate/courses/acct6386,ACCT 6386,ACCT,"{""course_code"": ""ACCT 6386"", ""course_title"": ""Governance, Risk Management and Compliance"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6388 Accounting Communications (3 semester credit hours) This course is designed to improve the professionalism and communication skills necessary in the field of accounting. The course includes lectures, discussions, readings, and a variety of individual and group assignments that allow students to apply effective oral and written communication skills in a variety of situations. Typical assignments include professional branding and creating written pieces required in the profession of accounting and consulting including memos, emails, client engagement letters, project reports, presentations, and interviews. Professional and ethical use of generative AI and other modern topics will be included. (3-0) S",https://catalog.utdallas.edu/2025/graduate/courses/acct6388,ACCT 6388,ACCT,"{""course_code"": ""ACCT 6388"", ""course_title"": ""Accounting Communications"", ""credit_hours"": ""3""}"
Naveen Jindal School of Management,Accounting,"ACCT 6389 Volunteer Income Tax Assistance Practicum (3 semester credit hours) This course is designed to provide students with an opportunity to expand and apply their tax compliance skills in a community service environment through the execution of the Volunteer Income Tax Assistance (VITA) program through a combination of in-class seminars, out-of-classroom application, and a research project. Prerequisite or Corequisite: ACCT 6350 or an undergraduate degree in Accounting and adequate foundation/academic performance in a corresponding area. (3-0) R",https://catalog.utdallas.edu/2025/graduate/courses/acct6389,ACCT 6389,ACCT,"{""course_code"": ""ACCT 6389"", ""course_title"": ""Volunteer Income Tax Assistance Practicum"", ""credit_hours"": ""3""}"
